FLOOR	-22.80253
'al	-11.791024
'am	-10.861054
'ca	-10.481402
'cl	-12.096525
'd$	-8.190228
'ii	-11.413978
'll	-7.2245417
'm$	-6.8153844
're	-6.8927584
's$	-5.634241
't$	-6.0290956
've	-7.6047974
-$$	-10.143228
-by	-11.509715
-hm	-10.873457
-hu	-11.546809
-i$	-11.00517
-in	-11.80295
-la	-11.80295
.$$	-8.225601
.a.	-12.216779
.m.	-12.076205
^'a	-10.40714
^'c	-10.30003
^'d	-8.190228
^'i	-11.005155
^'l	-7.2245417
^'m	-6.8098
^'r	-6.8927584
^'s	-5.6335464
^'t	-6.0261126
^'v	-7.6047974
^^'	-4.634991
^^1	-11.514136
^^a	-4.24057
^^b	-4.9876747
^^c	-5.1049576
^^d	-5.0603733
^^e	-6.045003
^^f	-5.293309
^^g	-5.2287507
^^h	-4.6486554
^^i	-4.15117
^^j	-6.504097
^^k	-6.2210827
^^l	-5.3355045
^^m	-4.8363976
^^n	-5.3597937
^^o	-4.8211226
^^p	-5.6218076
^^q	-8.419161
^^r	-5.82014
^^s	-4.5976963
^^t	-3.7895405
^^u	-6.307069
^^v	-7.4689794
^^w	-4.3553405
^^x	-11.9990635
^^y	-4.6219177
^^z	-10.570336
^a$	-5.6207886
^a.	-12.120337
^aa	-11.108508
^ab	-7.222363
^ac	-8.252189
^ad	-9.078434
^af	-8.356898
^ag	-8.020877
^ah	-9.202952
^ai	-9.332301
^al	-6.5136166
^am	-8.081577
^an	-5.5638347
^ap	-8.8442955
^ar	-6.566222
^as	-7.221347
^at	-7.260931
^au	-9.764973
^av	-10.74016
^aw	-8.535002
^ay	-11.573494
^b$	-12.074275
^ba	-7.0633764
^be	-5.9022355
^bi	-7.998598
^bl	-8.361673
^bo	-7.454567
^br	-7.6291513
^bu	-6.663487
^by	-8.073414
^c$	-11.595301
^ca	-6.184881
^ce	-9.121828
^ch	-7.1572385
^ci	-9.383331
^cl	-7.9612775
^co	-6.1016383
^cr	-8.136793
^cu	-8.90076
^d$	-11.037998
^da	-7.249761
^de	-7.2659574
^di	-6.7493725
^dn	-12.028189
^do	-5.7397485
^dr	-7.8590207
^du	-9.121391
^dy	-10.901455
^e$	-11.755792
^ea	-8.170723
^ec	-11.912759
^ed	-10.141443
^ef	-10.937111
^eg	-11.082338
^eh	-10.8817625
^ei	-9.844185
^el	-8.737889
^em	-9.173434
^en	-7.992902
^ep	-12.159083
^eq	-11.312167
^er	-10.218758
^es	-9.884736
^et	-11.398649
^eu	-11.325823
^ev	-7.214807
^ex	-7.852812
^ey	-9.62607
^fa	-7.3394938
^fb	-11.951311
^fe	-7.857808
^fi	-7.016341
^fl	-8.90952
^fo	-6.305751
^fr	-7.130624
^fu	-8.04555
^ga	-8.446775
^ge	-6.9283214
^gh	-11.258561
^gi	-7.687724
^gl	-9.587987
^go	-5.8959866
^gr	-7.7045035
^gu	-7.79405
^h$	-11.82433
^ha	-5.9205494
^he	-5.560762
^hi	-6.6200633
^hm	-10.381051
^ho	-6.615055
^hu	-8.028355
^hy	-12.190637
^i$	-4.9948545
^i-	-10.821196
^i.	-11.440276
^ic	-11.149052
^id	-9.079991
^if	-7.3252745
^ig	-11.632024
^ii	-12.065068
^il	-11.011874
^im	-8.885984
^in	-5.9997344
^ir	-10.8960705
^is	-6.2160892
^it	-5.660756
^ja	-8.862396
^je	-9.059494
^ji	-10.483481
^jo	-8.288768
^ju	-6.9562287
^ka	-10.305345
^ke	-8.414837
^ki	-7.5354347
^kn	-6.7493362
^ko	-11.678257
^l$	-10.3612385
^la	-7.4154673
^le	-6.9228992
^li	-6.383544
^ll	-11.966622
^lo	-6.6054983
^lt	-11.157989
^lu	-9.219521
^ly	-10.713851
^m$	-11.38046
^ma	-6.363612
^me	-6.0736513
^mi	-7.273231
^mm	-9.971035
^mo	-6.7832956
^mr	-8.4623575
^ms	-11.348198
^mu	-7.6186438
^my	-6.6404977
^n$	-12.057669
^na	-8.274378
^ne	-6.9725595
^ni	-8.0898485
^no	-5.7718124
^nu	-9.454241
^o$	-10.688096
^ob	-10.01827
^oc	-10.755131
^od	-11.706318
^of	-5.971918
^oh	-7.4457855
^oi	-11.463827
^ok	-7.696563
^ol	-8.937033
^on	-6.1678386
^oo	-10.573634
^op	-8.890436
^or	-7.811827
^ot	-8.614432
^ou	-6.9022107
^ov	-8.3615885
^ow	-8.945629
^pa	-7.367893
^pe	-7.583351
^ph	-9.005983
^pi	-8.459127
^pl	-7.382816
^po	-7.7667403
^pr	-7.1678047
^ps	-11.3067
^pu	-8.10139
^qu	-8.422579
^ra	-8.396764
^re	-6.61155
^ri	-7.0727973
^ro	-7.998504
^ru	-8.528787
^ry	-11.846282
^s$	-10.499335
^sa	-6.841493
^sc	-8.224567
^se	-6.6800327
^sh	-6.441561
^si	-7.238156
^sk	-10.0088625
^sl	-8.950183
^sm	-9.024089
^sn	-10.210546
^so	-6.087409
^sp	-8.027267
^sq	-10.8371725
^st	-6.589614
^su	-7.322947
^sw	-9.028045
^sy	-10.210783
^t$	-10.912792
^ta	-7.104317
^te	-7.344527
^th	-4.254412
^ti	-7.5098677
^to	-5.2390237
^tr	-7.307609
^tu	-8.942276
^tv	-10.924205
^tw	-8.423412
^ty	-10.682958
^ug	-11.111936
^uh	-8.701988
^um	-9.673288
^un	-7.868262
^up	-7.3248043
^ur	-11.776437
^us	-7.569299
^va	-9.686508
^ve	-8.175403
^vi	-8.727239
^vo	-9.73158
^wa	-5.898061
^we	-5.8302975
^wh	-5.5785666
^wi	-6.2986646
^wo	-6.598845
^wr	-8.672414
^y$	-11.179092
^ya	-10.245402
^ye	-6.7220984
^yo	-4.760174
^yu	-11.604603
^ze	-11.964067
^zo	-11.233366
a$$	-5.3417997
a.$	-11.858677
aah	-11.288734
ab$	-10.389837
aba	-11.669124
abb	-10.990485
abe	-10.897097
abi	-10.706713
abl	-8.616643
abo	-7.3453918
abr	-11.648181
abs	-10.395719
abu	-11.91927
aby	-9.509393
ac$	-11.834417
aca	-11.669299
acc	-9.328211
ace	-8.138803
ach	-8.587151
aci	-10.893268
ack	-7.5145035
acl	-11.856736
aco	-11.839189
acr	-10.457935
act	-8.060912
acu	-12.089825
acy	-11.407228
ad$	-7.0227523
ada	-10.06208
add	-9.705096
ade	-8.6397915
adi	-9.397784
adl	-11.1526375
adm	-10.692313
adn	-11.123218
ado	-10.954369
ads	-10.770174
adu	-11.423856
adv	-10.433145
ady	-8.610399
ael	-10.748659
afe	-10.076055
aff	-10.23676
afr	-9.92839
aft	-8.693756
ag$	-10.360504
aga	-8.534406
age	-8.27219
agg	-11.205916
agi	-9.900287
agn	-11.15262
ago	-9.532296
agr	-10.393537
ags	-12.086181
agu	-11.389171
ah$	-7.406257
aha	-12.231598
ahe	-10.351853
ahh	-12.045372
ai$	-11.51251
aid	-8.180747
aig	-10.357956
ail	-9.153045
aim	-11.051793
ain	-7.510421
air	-8.810867
ais	-10.648756
ait	-8.428038
aje	-11.57198
ajo	-11.004357
ak$	-9.250205
ake	-7.1096644
akf	-11.505636
aki	-8.933523
aks	-11.405116
al$	-7.3080173
ala	-10.324946
alb	-11.895968
alc	-11.435891
ald	-12.091517
ale	-9.24277
alf	-10.054642
ali	-8.895526
alk	-8.055199
all	-6.2540336
alm	-9.613707
alo	-9.138881
alp	-12.177916
alr	-9.189756
als	-9.148298
alt	-9.734363
alu	-11.394665
alw	-8.980207
aly	-11.668481
am$	-7.869063
ama	-9.652842
amb	-10.592918
ame	-7.5753164
ami	-8.996699
amm	-10.8668165
amn	-9.73756
amo	-10.214333
amp	-9.783066
ams	-10.305516
amu	-12.218499
amy	-11.761417
an$	-6.0149846
ana	-9.846336
anc	-8.373961
and	-5.7297344
ane	-9.410831
ang	-8.13711
ani	-9.223577
ank	-7.90282
ann	-8.596548
ano	-9.179613
ans	-8.649804
ant	-6.993322
anu	-11.83635
any	-7.3316865
ap$	-9.689254
