FLOOR	-21.330076
-bo	-12.015465
.$$	-8.152741
.de	-11.92113
00f	-11.913453
0ff	-11.913453
^^a	-4.7937536
^^b	-5.2321186
^^c	-7.5476656
^^d	-3.8431606
^^e	-4.532734
^^f	-5.6858554
^^g	-4.9910755
^^h	-4.8344007
^^i	-4.22761
^^j	-5.874019
^^k	-5.335951
^^l	-5.810731
^^m	-4.6327286
^^n	-4.85283
^^o	-6.35796
^^p	-6.6251507
^^q	-10.164823
^^r	-6.3570375
^^s	-4.1524086
^^t	-6.07457
^^u	-5.4270463
^^v	-5.5355945
^^w	-4.2454286
^^y	-9.695401
^^z	-5.7090044
^^ä	-8.9082985
^^ö	-10.182621
^^ü	-7.594211
^a$	-11.042925
^ab	-6.6456823
^ac	-8.995341
^ad	-10.496887
^af	-11.206048
^ag	-10.6179495
^ah	-9.306442
^ak	-10.220363
^al	-6.288651
^am	-8.330574
^an	-6.4636106
^ap	-10.713123
^ar	-7.946356
^as	-11.222383
^at	-10.548393
^au	-5.9700985
^ba	-8.1953745
^be	-6.1505795
^bi	-6.3943624
^bl	-8.004887
^bo	-8.931842
^br	-7.412067
^bu	-9.376157
^by	-11.885691
^bä	-11.476776
^bö	-10.3587265
^bü	-9.877867
^ca	-9.205977
^ce	-11.623394
^ch	-8.514577
^ci	-10.9945135
^cl	-9.967054
^co	-8.991358
^cr	-11.204926
^d$	-11.900038
^da	-4.9612126
^de	-5.3243914
^di	-5.307476
^do	-7.3643613
^dr	-7.7050247
^du	-5.6727962
^dä	-11.437093
^dü	-10.134645
^eb	-9.988258
^ec	-9.4037895
^ed	-10.821862
^eg	-9.784306
^eh	-9.137245
^ei	-5.481774
^el	-9.486114
^em	-10.163266
^en	-7.7883506
^er	-6.046161
^es	-5.9541664
^et	-7.9423876
^eu	-7.995626
^ev	-11.337891
^ew	-10.984758
^ex	-10.074795
^fa	-7.6049347
^fb	-11.431851
^fe	-8.122965
^fi	-8.119348
^fl	-8.872043
^fo	-9.055854
^fr	-7.051355
^fu	-9.381951
^fä	-9.600789
^fü	-6.8970785
^ga	-7.616765
^ge	-5.499901
^gi	-7.9225316
^gl	-7.6118193
^gn	-11.71955
^go	-8.577052
^gr	-7.8660264
^gu	-7.211061
^gä	-11.167267
^gö	-11.802956
^gü	-11.035391
^ha	-5.4369392
^he	-6.7565055
^hi	-6.656525
^hm	-10.554396
^ho	-8.0662
^hu	-9.199099
^hä	-7.9897356
^hö	-8.043974
^hü	-10.06529
^i$	-10.747616
^ic	-5.0479407
^id	-9.413373
^ih	-6.1238203
^il	-11.935498
^im	-7.220235
^in	-6.432773
